,Standard system,Climate,,Water,,Chemistry,,Land,,Biodiversity,,Resource use & waste,,Human Rights,,Animal Welfare,,Integrity,
,,Impact area level,Impact area performance %,Impact area level,Impact area performance %,Impact area level,Impact area performance %,Impact area level,Impact area performance %,Impact area level,Impact area performance %,Impact area level,Impact area performance %,Impact area level,Impact area performance %,Impact area level,Impact area performance %,Impact area level,Impact area performance %
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cotton,"Better Cotton {F, IP} {MB, CoC}",0,13,1,20,1,22,1,35,1,31,1,33,2,47,-,-,4,88
,"Cotton made in Africa (CmiA) {F, IP} {MB, CoC}
[Operates in Africa only]",1,35,2,50,2,41,2,42,2,42,1,33,1,31,-,-,4,88
,"Fairtrade Cotton {F, IP} {CoC, MB}",0,7,0,19,1,23,2,46,1,24,1,38,1,26,-,-,0,0
,"EU Organic Cotton  {F}
Fairtrade Cotton  {F, IP} {MB, CoC}
GOTS  {IP} {CoC}",1,31,2,58,2,57,2,49,1,27,2,52,1,26,-,-,3,75
,EU Organic Cotton {F},1,32,2,49,2,53,2,53,1,30,1,38,-,-,-,-,2,81
,"Fairtrade Cotton  {F, IP} {MB, CoC}",0,7,0,19,1,23,2,46,1,24,1,38,1,26,-,-,4,43
,GOTS Certified {IP} {CoC},1,36,3,62,3,60,-,-,-,-,2,54,0,12,-,-,3,81
,"EU Organic Cotton  {F}
GOTS  {IP} {CoC}",1,30,2,53,2,55,2,53,1,30,2,48,0,12,-,-,4,65
,EU Organic Cotton {F},1,32,2,49,2,53,2,53,1,30,1,38,-,-,-,-,0,0
,GOTS Certified {IP} {CoC},1,36,3,62,3,60,-,-,-,-,2,54,0,10,-,-,3,49
,"EU Organic Cotton {F}
OCS {IP} {CoC}",1,26,2,46,2,43,2,53,1,30,1,27,0,0,-,-,0,0
,EU Organic Cotton  {F},1,32,2,49,2,53,2,53,1,30,1,38,-,-,-,-,3,75
,OCS Certified {IP} {CoC},1,23,2,45,1,36,-,-,-,-,0,17,0,0,-,-,2,43
,ISCC EU {F} {IP} {CoC},1,28,1,33,1,30,2,56,2,44,2,42,1,20,-,-,,
,"MyBMP {F} {MB}
[Operates in Australia only]",1,20,1,32,0,14,2,48,1,32,1,17,0,8,-,-,1,23
,Recycled Cotton – GRS Certified {R} {CoC},2,55,3,73,3,70,-,-,-,-,2,54,0,10,-,-,3,77
,Recycled Cotton – RCS Certified {R} {CoC},2,40,2,57,0,12,-,-,-,-,1,25,0,0,-,-,3,75
,CottonConnect REEL Code of Conduct {F} {IP} {CoC},0,9,1,24,1,21,2,46,1,28,2,44,0,17,-,-,2,58
,CottonConnect REEL Regenerative Code {F} {IP} {CoC},1,22,1,26,1,28,2,55,2,48,2,52,0,18,-,-,2,58
,"Responsible Brazilian Cotton (ABR) {F}
[Operates in Brazil only]",0,7,1,30,1,24,2,46,2,53,0,17,0,10,-,-,2,42
,"US Cotton Trust Protocol {F}{MB, CoC} [Operates in the US only]",0,16,1,26,0,9,2,49,1,26,1,25,0,8,-,-,3,62
,Cotton with no standard system  {F},0,0,0,8,0,0,0,0,0,0,0,17,0,0,-,-,2,43
Synthetic,"Chemically Recycled Polyester – GRS Certified
(Recycled materials & Chain of Custody)",1,39,1,39,1,30,-,-,-,-,3,64,0,10,-,-,3,77
,"Chemically Recycled Polyester – RCS Certified
(Recycled materials & Chain of Custody)",1,24,1,20,0,3,-,-,-,-,1,25,0,0,-,-,0,0
,"Mechanically Recycled Polyester – GRS Certified
(Recycled materials & Chain of Custody)",2,59,3,66,2,55,-,-,-,-,3,64,0,10,-,-,3,77
,"Mechanically Recycled Polyester – RCS Certified
(Recycled materials & Chain of Custody)",2,44,2,48,1,28,-,-,-,-,1,25,0,0,-,-,0,0
,"Polyester with no standard system
(Feedstock and initial processing)",0,0,0,14,0,0,0,0,0,0,0,0,0,0,-,-,3,77
,"Recycled Acrylic – GRS Certified
(Recycled materials & Chain of Custody)",0,18,1,23,1,30,-,-,-,-,3,64,0,10,-,-,0,0
,"Acrylic with no standard system
(Feedstock and initial processing)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,3,77
,"Recycled Elastane – GRS Certified
(Recycled materials & Chain of Custody)",0,18,1,23,1,30,-,-,-,-,3,64,0,10,-,-,0,0
,"Elastane with no standard system
(Feedstock and initial processing)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,"Recycled Polyamide (Nylon) – GRS Certified
(Recycled materials & Chain of Custody)",3,62,1,39,2,53,-,-,-,-,3,64,0,10,-,-,0,0
,"Recycled Polyamide (Nylon) – RCS Certified
(Recycled materials & Chain of Custody)",2,47,1,21,1,25,-,-,-,-,1,25,0,0,-,-,3,77
,"Polyamide with no standard system
(Feedstock and initial processing)",0,0,0,10,0,0,0,0,0,0,0,0,0,0,-,-,0,0
Flax,"Dew-Retted Flax
EU Organic (Farm)
GOTS (Initial processing and Chain of Custody)",1,32,2,54,1,23,2,53,1,30,2,40,0,12,-,-,2,54
,"EU Organic Cotton
(Farm)",1,30,2,45,0,17,2,53,1,30,1,38,-,-,-,-,2,43
,"GOTS
(Initial processing & Chain of Custody)",1,0,3,61,1,29,-,-,-,-,2,42,0,12,-,-,0,0
,"Dew-Retted Flax
EU Organic Flax (Farm)
OCS (Initial processing and Chain of Custody)",1,28,2,44,0,9,2,53,1,30,1,27,0,0,-,-,2,43
,"EU Organic Cotton
(Farm)",1,30,2,44,0,17,2,53,1,30,1,38,-,-,-,-,0,0
,"OCS
(Initial processing & Chain of Custody)",0,24,0,0,0,0,-,-,-,-,0,17,0,0,-,-,3,65
,"Dew-Retted Flax with no standard system
(Farm)",1,25,2,43,0,0,0,5,0,0,1,22,0,0,-,-,0,0
,"Water-Retted Flax
EU Organic (Farm)
GOTS (Initial processing and Chain of Custody)",0,8,0,14,1,23,2,51,1,30,2,40,0,12,-,-,3,60
,"EU Organic Cotton
(Farm)",0,6,0,6,0,17,2,51,-,30,1,38,-,-,-,-,2,43
,"GOTS
(Initial processing & Chain of Custody)",0,9,1,22,1,29,-,-,0,-,2,42,0,12,-,-,0,0
,"Water-Retted Flax
EU Organic flax (Farm)
OCS (Initial processing and Chain of Custody)",0,3,0,5,0,9,2,51,1,30,1,27,0,0,-,-,3,77
,"EU Organic Cotton
(Farm)",0,6,0,6,0,17,2,51,1,30,1,38,-,-,-,-,3,60
,"OCS
(Initial processing & Chain of Custody)",0,0,0,5,0,0,-,-,-,-,0,17,0,0,-,-,2,43
,"Water retted Flax with no standard system
(Farm)",0,1,0,4,0,0,0,3,0,0,1,22,0,0,-,-,3,60
MMCF,"Acetate FSC Certified (Forestry)
Acetate with no standard system (Pulping/Fiber)",0,9,0,11,0,17,4,84,1,38,1,21,0,11,-,-,4,89
,"Acetate PEFC Certified (Forestry)
Acetate with no standard system  (Pulping/Fiber)",0,11,0,6,0,16,3,74,1,23,1,20,0,7,-,-,4,89
,"Acetate with no standard system (Forestry)
Acetate with no standard system  (Pulping/Fiber)",0,0,0,2,0,0,0,0,0,0,0,17,0,0,-,-,0,0
,"Bamboo Viscose with no standard system (Forestry)
Bamboo Viscose with no standard system (Pulping/Fiber)",0,17,1,39,0,5,0,3,0,0,0,17,0,0,-,-,-,-
,"Lyocell FSC Certified (Forestry)
Lyocell with no standard system (Pulping/Fiber)",1,28,2,42,1,27,4,84,1,38,1,21,0,11,-,-,0,0
,"Lyocell PEFC Certified (Forestry)
Lyocell with no standard system (Pulping/Fiber)",1,31,1,37,1,26,3,74,1,23,1,20,0,7,-,-,3,79
,"Lyocell with no standard system  (Forestry)
Lyocell with no standard system (Pulping/Fiber)",1,20,1,33,0,10,0,0,0,0,0,17,0,0,-,-,3,79
,"Modal FSC Certified (Forestry)
Modal with no standard system (Pulping/Fiber)",0,14,1,38,1,23,4,84,1,38,1,21,0,11,-,-,0,0
,"Modal PEFC Certified (Forestry)
Modal with no standard system (Pulping/Fiber)",0,17,1,33,1,22,3,74,1,23,1,20,0,7,-,-,-,-
,"Modal with no standard system (Forestry)
Modal with no standard system (Pulping/Fiber)",0,6,1,29,0,6,0,0,0,0,0,17,0,0,-,-,0,0
,"Viscose FSC Certified (Forestry)
Viscose  with no standard system (Pulping/Fiber)",1,21,2,42,1,23,4,84,1,38,1,21,0,11,-,-,-,-
,"Viscose PEFC Certified (Forestry)
Viscose with no standard system (Pulping/Fiber)",1,24,1,37,1,22,3,74,1,23,1,20,0,7,-,-,-,-
,"Viscose with no standard system (Forestry)
Viscose with no standard system (Pulping/Fiber)",0,12,1,33,0,6,0,0,0,0,0,17,0,0,-,-,0,0
Wool,"EU Organic Wool (Farm)
GOTS (Initial processing & Chain of Custody)",0,8,0,14,1,23,2,48,1,30,2,40,0,12,2,56,2,54
,"EU Organic Cotton
(Farm)",0,6,0,6,0,17,2,48,1,30,1,38,-,-,2,56,2,43
,"GOTS
(Initial processing & Chain of Custody)",0,14,1,22,1,29,-,-,-,-,2,42,0,12,-,-,3,65
,"EU Organic Wool (Farm)
OCS (Initial processing & Chain of Custody)",0,3,0,5,0,9,2,48,1,30,1,27,0,0,2,56,3,60
,"EU Organic Cotton
(Farm)",0,6,0,6,0,0,2,48,1,30,1,38,-,-,2,56,2,43
,"OCS
(Initial processing & Chain of Custody)",0,0,0,5,0,0,-,-,-,-,0,17,0,0,-,-,3,77
,"Recycled Wool – GRS Certified
(Recycled materials & Chain of Custody)",2,45,2,53,0,0,-,-,-,-,2,54,0,10,-,-,3,77
,"Recycled Wool – RCS Certified
(Recycled materials & Chain of Custody)",1,30,1,39,0,0,-,-,-,-,0,13,0,0,-,-,3,77
,"Responsible Wool Standard
(Farm)",0,10,0,17,0,0,2,53,2,58,0,17,0,8,4,84,3,77
,"Wool with no standard system
(Farm)",0,0,0,4,0,0,0,2,0,0,0,17,0,0,0,0,-,-
